GEO_ID,NAME,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E
1400000US25001010100,Census Tract 101; Barnstable County; Massachusetts,2034,83,88,171,160,68,224,215,164,230,631,104500,161675
1400000US25001010206,Census Tract 102.06; Barnstable County; Massachusetts,1924,100,9,66,93,192,171,279,403,361,250,114074,128058
1400000US25001010208,Census Tract 102.08; Barnstable County; Massachusetts,1053,0,96,54,98,169,35,79,168,138,216,94637,127476
1400000US25001010304,Census Tract 103.04; Barnstable County; Massachusetts,1423,31,64,24,153,190,308,65,241,129,218,70779,112431
1400000US25001010306,Census Tract 103.06; Barnstable County; Massachusetts,1437,43,89,34,140,171,221,266,176,113,184,75777,98306
1400000US25001010400,Census Tract 104; Barnstable County; Massachusetts,1587,52,120,67,87,205,146,291,375,74,170,82382,112199
1400000US25001010500,Census Tract 105; Barnstable County; Massachusetts,1415,44,35,65,60,139,156,84,287,174,371,113313,172440
1400000US25001010600,Census Tract 106; Barnstable County; Massachusetts,1629,90,37,82,53,121,336,250,248,102,310,80298,190028
1400000US25001010700,Census Tract 107; Barnstable County; Massachusetts,1632,70,86,65,41,83,249,189,195,169,485,112976,170940
1400000US25001010800,Census Tract 108; Barnstable County; Massachusetts,2327,115,34,69,155,219,325,324,323,214,549,98043,167163
1400000US25001010900,Census Tract 109; Barnstable County; Massachusetts,2461,36,105,245,145,283,256,267,258,439,427,91318,135196
1400000US25001011002,Census Tract 110.02; Barnstable County; Massachusetts,1813,56,67,34,52,100,226,414,355,184,325,93924,136323
1400000US25001011100,Census Tract 111; Barnstable County; Massachusetts,2480,18,42,97,93,165,430,438,509,388,300,94694,121751
1400000US25001011200,Census Tract 112; Barnstable County; Massachusetts,1874,49,65,108,113,224,342,288,256,167,262,77250,113233
1400000US25001011300,Census Tract 113; Barnstable County; Massachusetts,1120,10,7,34,27,25,160,171,228,193,265,118810,162249
1400000US25001011400,Census Tract 114; Barnstable County; Massachusetts,1658,73,9,180,83,177,159,163,258,297,259,92813,117590
1400000US25001011500,Census Tract 115; Barnstable County; Massachusetts,1721,104,24,39,95,173,223,298,389,323,53,92527,101857
1400000US25001011600,Census Tract 116; Barnstable County; Massachusetts,1576,109,99,89,152,199,362,183,165,122,96,56905,78159
1400000US25001011700,Census Tract 117; Barnstable County; Massachusetts,1041,46,32,76,60,80,167,87,176,129,188,91635,140444
1400000US25001011801,Census Tract 118.01; Barnstable County; Massachusetts,1289,31,32,20,25,153,133,152,313,218,212,121250,147093
1400000US25001011802,Census Tract 118.02; Barnstable County; Massachusetts,2022,118,0,29,114,208,262,243,368,262,418,102256,134270
1400000US25001012001,Census Tract 120.01; Barnstable County; Massachusetts,2862,46,55,193,331,202,550,511,364,237,373,78085,115537
1400000US25001012002,Census Tract 120.02; Barnstable County; Massachusetts,1414,106,58,182,73,70,205,216,153,130,221,76161,98526
1400000US25001012101,Census Tract 121.01; Barnstable County; Massachusetts,2418,62,64,119,134,213,388,522,691,104,121,85595,90089
1400000US25001012102,Census Tract 121.02; Barnstable County; Massachusetts,1694,81,60,124,299,156,380,138,151,159,146,56489,106123
1400000US25001012200,Census Tract 122; Barnstable County; Massachusetts,2006,0,16,72,147,128,179,126,587,354,397,114710,153416
1400000US25001012502,Census Tract 125.02; Barnstable County; Massachusetts,1623,68,54,93,221,320,176,180,246,85,180,61655,89281
1400000US25001012601,Census Tract 126.01; Barnstable County; Massachusetts,1305,55,28,134,47,240,224,172,145,184,76,66080,94409
1400000US25001012602,Census Tract 126.02; Barnstable County; Massachusetts,2045,93,47,315,106,240,324,195,306,372,47,67481,86032
1400000US25001012700,Census Tract 127; Barnstable County; Massachusetts,2119,32,0,63,53,119,355,302,347,458,390,123352,142926
1400000US25001012800,Census Tract 128; Barnstable County; Massachusetts,1575,89,9,111,16,91,150,125,397,408,179,126838,126653
1400000US25001012900,Census Tract 129; Barnstable County; Massachusetts,1885,22,14,82,36,119,241,294,358,185,534,108922,150814
1400000US25001013002,Census Tract 130.02; Barnstable County; Massachusetts,1388,69,5,32,15,118,295,103,207,151,393,114219,198533
1400000US25001013100,Census Tract 131; Barnstable County; Massachusetts,2442,16,33,130,59,165,219,478,485,509,348,108981,129459
1400000US25001013200,Census Tract 132; Barnstable County; Massachusetts,2303,26,0,104,47,253,327,156,403,553,434,140197,155384
1400000US25001013300,Census Tract 133; Barnstable County; Massachusetts,1500,72,22,81,43,78,268,136,357,137,306,104464,134305
1400000US25001013400,Census Tract 134; Barnstable County; Massachusetts,1645,151,9,180,27,80,99,121,316,249,413,130804,155445
1400000US25001013500,Census Tract 135; Barnstable County; Massachusetts,2699,41,0,20,104,126,163,262,647,537,799,146536,177077
1400000US25001013600,Census Tract 136; Barnstable County; Massachusetts,2252,103,0,0,140,202,317,267,459,338,426,104625,139776
