id,name,status,latitude,longitude,hu,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,municipal,nhood,n_transit
242,Bridge Boston Charter School,completed,42.3161586522969,-71.0845006245423,0,0,0,0,0,0,Boston,Roxbury,"[""MBTA Key Bus Route: 28"", ""MBTA Key Bus Route: 22"", ""MBTA Key Bus Route: 23"", ""MBTA Key Bus Route: 32""]"
538,RCG East Mill,completed,42.7016305401238,-71.1246075350511,51,0,0,0,0,0,North Andover,,"[""RTA: LRTA"", ""RTA: MVRTA""]"
539,Bradstreet on Main,completed,42.6585693510806,-71.142490973303,15,0,0,0,0,0,Andover,,"[""Commuter Rail: Andover""]"
695,159-175 Main St,completed,42.4715595232602,-71.1480798264267,0,,,,,,Woburn,,[]
541,Cahoon Museum of American Art,completed,41.6380936069252,-70.4508618237299,0,,,,,,Barnstable,,"[""RTA: CCRTA""]"
1134,3 pond park,completed,42.1758697330057,-70.9187679173214,0,,,,,,Hingham,,[]
2175,Lowland Farms,completed,42.6254087755974,-70.7846550141382,20,,,,,,Essex,,[]
738,450 Cambridge Street,completed,42.3538949096954,-71.1355942281554,40,5,0,0,0,5,Boston,Allston,"[""Rapid Transit: Harvard Avenue""]"
4,201 West Brookline Street,completed,42.3433886667597,-71.0764206064062,9,0,0,0,0,0,Boston,South End,"[""Rapid Transit: Back Bay""]"
24,55 Cherry Hill Drive,completed,42.5782653877229,-70.915169473171,0,0,0,0,0,0,Danvers,,[]
5,Christopher Heights - Belchertown,completed,42.2733075695865,-72.414364257105,83,43,0,43,0,0,Belchertown,,"[""RTA: PVTA""]"
282,2 Lewis St,completed,42.4138115627567,-71.3260294237701,1,0,0,0,0,0,Lincoln,,"[""Commuter Rail: Lincoln""]"
6,Ludlow Mills - Residences at Mill 10,completed,42.155344518525,-72.4794703422331,75,66,15,,51,,Ludlow,,"[""RTA: PVTA""]"
1216,"Lowe's, Walmart and Meineke Expansions",completed,42.4926177301779,-70.9358073459298,0,0,0,0,0,0,Salem,,[]
10,Mount Holyoke College Centralized Dining,completed,42.2573957683409,-72.5775047421681,0,,,,,,South Hadley,,"[""RTA: PVTA""]"
8,Boston Landing - 80 Guest Street,completed,42.357211555412,-71.1423628608273,0,,,,,,Boston,Brighton,"[""Commuter Rail: Boston Landing""]"
1135,4 Foskett Street,completed,42.3967670575371,-71.1152011585989,3,,,,,,Somerville,Davis Square,"[""Rapid Transit: Ball Square Glx""]"
4871,"44 Maple St.,",completed,42.5662717004555,-70.9366590792406,10,0,0,0,0,0,Danvers,,[]
3744,Holiday Inn Express Expansion - 385 Winter Street,completed,42.3985264908931,-71.2585362674754,0,0,0,0,0,0,Waltham,,[]
2966,Whitney Farm,completed,42.2385066674699,-71.4171270829224,48,12,0,0,12,0,Sherborn,,[]
2033,Ashland Woods,completed,42.2428735653733,-71.485220593501,48,12,0,0,12,0,Ashland,,"[""RTA: MWRTA""]"
20,Isenberg School of Management Renovation Expansion,completed,42.3865350679079,-72.5247694210319,0,0,0,0,0,0,Amherst,,"[""RTA: PVTA""]"
